id,type,unit_id,title,release_date,now_available
1,O,/assets/html/econ400courseoutline.pdf,Course Outline,,True
2,O,/assets/html/Econ400COURSESYLLABUS.pdf,Course Syllabus,,True
3,U,3,Supply-side Economics: The Foundations,,True
4,U,4,Warren Harding and Calvin Coolidge,soon,False
5,U,5,"Hoover, FDR, Kennedy and Johnson from the Supply-Side",Under construction,True
6,U,6,Nixon; Ford and Carter Against the Supply-Side,soon,False
7,U,7,The Unraveling of Keynes and the Return of the Supply-Side,soon,False
8,U,8,Ronald Reagan’s Policies Rooted in Supply-Side Economics,soon,False

